H.m,H.E,t1.m,t1.E,t2.m,t2.E,H.pt,H.eta,H.phi,METx,METy,trueMETx,trueMETy,dm1,pt1,eta1,phi1,mass1,type1,dm2,pt2,eta2,phi2,mass2,type2,covXX,covXY,covYY
199.92952,982.3833,1.77682,471.24155,1.77682,511.14172,"[35.60311, 35.60311]","[-3.9892027, -3.9892027]","[-1.485443, -1.485443]",24.657776,-8.977412,25.210125,-25.155798,1,61.393494,-2.2842147,2.9697578,5.963942,-1,1,46.96708,-2.2126946,-0.47563988,2.9182289,-1,348.00757207177594,0.879091726913976,358.0645580866658
204.90967,1858.3033,1.77682,1297.4816,1.77682,560.8218,"[122.9872, 122.9872]","[-3.401259, -3.401259]","[0.07906063, 0.07906063]",89.21915,27.030823,83.05014,38.632824,1,34.754112,-4.14401,-1.3200637,2.01414,-1,1,37.288776,-2.1596036,0.4597768,0.9720145,-1,348.00757207177594,0.879091726913976,358.0645580866658
199.6754,364.32184,1.77682,69.761635,1.77682,294.56018,"[32.602245, 32.602245]","[-2.9253168, -2.9253168]","[2.4533987, 2.4533987]",-30.969456,10.459833,-24.346397,-2.823795,1,56.79624,-0.27772686,0.8684862,2.8616223,-1,1,41.58252,-2.0180395,-2.719033,2.299236,-1,348.00757207177594,0.879091726913976,358.0645580866658
199.69662,383.1534,1.77682,103.35183,1.77682,279.80157,"[74.055244, 74.055244]","[2.1652143, 2.1652143]","[1.4866738, 1.4866738]",-18.271307,33.67764,-15.902985,34.419083,3,35.804657,0.6028956,2.81404,0.1056583755,-1,1,62.817017,1.7035831,0.46324694,3.1513405,-1,348.00757207177594,0.879091726913976,358.0645580866658
199.81259,530.57477,1.77682,298.08054,1.77682,232.4942,"[20.567936, 20.567936]","[3.866463, 3.866463]","[0.27865618, 0.27865618]",8.099191,39.67205,-4.8285737,30.00989,1,33.013435,1.8339379,2.0184019,3.5005555,-1,1,74.308525,1.4647096,-0.93694365,2.0388083,-1,348.00757207177594,0.879091726913976,358.0645580866658
199.41028,231.57288,1.77682,165.35606,1.77682,66.21682,"[55.03063, 55.03063]","[1.3939655, 1.3939655]","[1.3888361, 1.3888361]",-2.463872,26.934883,-7.275375,15.038682,1,62.37341,1.2696054,0.7288433,1.3190157,-1,1,35.755245,-0.6127896,-3.1115673,2.0053573,-1,348.00757207177594,0.879091726913976,358.0645580866658
197.6196,252.17653,1.77682,118.1295,1.77682,134.04701,"[121.11211, 121.11211]","[-0.7484824, -0.7484824]","[1.8292031, 1.8292031]",-48.260532,-1.3954201,-28.622444,5.5327764,1,50.128265,-0.81489456,-3.1148593,1.124043,-1,1,147.69035,-0.15137511,1.123641,2.9582357,-1,348.00757207177594,0.879091726913976,358.0645580866658
177.70007,335.35727,1.77682,220.53676,1.77682,114.820496,"[27.125917, 27.125917]","[-3.0407808, -3.0407808]","[-1.2260058, -1.2260058]",-23.895664,-12.063764,1.3017353,-3.485799,1,86.88717,-1.4089636,-1.1937324,0.52112144,-1,1,66.399864,-1.0025392,1.9656943,2.5410411,-1,348.00757207177594,0.879091726913976,358.0645580866658
203.46315,813.4792,1.77682,26.301113,1.77682,787.1781,"[181.73277, 181.73277]","[-2.1460469, -2.1460469]","[-2.8117907, -2.8117907]",-121.10079,-25.618626,-127.6426,-27.75174,3,12.767756,-0.2020903,-0.7881261,0.1056583755,-1,1,38.204163,-2.074107,-2.9401424,0.6287837,-1,348.00757207177594,0.879091726913976,358.0645580866658
198.5728,206.20003,1.77682,81.67933,1.77682,124.5207,"[26.863483, 26.863483]","[-1.3555567, -1.3555567]","[-1.4399439, -1.4399439]",3.5835195,-18.424603,-0.14079122,-35.1265,1,70.04818,0.19088693,1.493021,1.114335,-1,1,77.62563,-0.5600986,-1.5945752,0.816154,-1,348.00757207177594,0.879091726913976,358.0645580866658
200.04408,235.25467,1.77682,81.32476,1.77682,153.92992,"[121.50916, 121.50916]","[0.1939951, 0.1939951]","[-1.1427723, -1.1427723]",-10.373263,-31.097729,6.733084,-37.337757,1,66.78636,-0.20384723,0.47619134,1.4576626,-1,2,105.18519,0.26099756,-1.7027088,0.0005109989499999,-1,348.00757207177594,0.879091726913976,358.0645580866658
200.23125,865.78394,1.77682,213.25478,1.77682,652.5292,"[19.33417, 19.33417]","[4.467292, 4.467292]","[-1.8113915, -1.8113915]",59.715508,-28.216654,39.133766,-22.65755,1,95.62907,1.5442357,2.8761845,4.45813,-1,1,22.302158,2.756975,-0.491503,1.8870101,-1,348.00757207177594,0.879091726913976,358.0645580866658
198.18648,271.85965,1.77682,193.83391,1.77682,78.02574,"[166.01314, 166.01314]","[-0.48698688, -0.48698688]","[1.458032, 1.458032]",-12.7359,41.827248,17.933792,44.589188,1,176.98357,-0.22023049,1.1118499,9.757309,-1,1,70.633675,-0.58417135,-3.068961,10.855834,-1,348.00757207177594,0.879091726913976,358.0645580866658
198.40056,212.03618,1.77682,80.30301,1.77682,131.73317,"[22.333334, 22.333334]","[1.8789562, 1.8789562]","[2.6721883, 2.6721883]",20.921614,8.565304,-5.8015494,3.3297777,2,51.765663,-0.4288626,0.85686606,0.0005109989499999,-1,1,68.80997,1.0620316,-2.5701709,2.5778928,-1,348.00757207177594,0.879091726913976,358.0645580866658
206.3817,434.39694,1.77682,362.62564,1.77682,71.77132,"[59.045044, 59.045044]","[-2.5548754, -2.5548754]","[1.6855274, 1.6855274]",9.138926,17.26261,9.4605875,33.05568,1,57.172947,-1.9874661,0.9676574,3.5785751,-1,1,39.354256,-0.3784111,-2.8359847,0.6576722,-1,348.00757207177594,0.879091726913976,358.0645580866658
199.55452,736.6524,1.77682,510.1757,1.77682,226.47672,"[60.565907, 60.565907]","[3.1515946, 3.1515946]","[-2.8524811, -2.8524811]",-16.360249,5.986049,-10.94204,-7.139413,1,54.00496,2.411967,-1.5229949,1.6504588,-1,1,56.98967,1.4969043,2.283691,0.9732281,-1,348.00757207177594,0.879091726913976,358.0645580866658
197.56793,223.31863,1.77682,142.77873,1.77682,80.5399,"[99.13421, 99.13421]","[0.3154095, 0.3154095]","[0.22572182, 0.22572182]",33.403065,15.736305,41.571915,10.835094,1,86.4814,-0.28963533,0.27836472,1.3686054,-1,1,33.20027,1.3752296,-2.7236624,1.1998621,-1,348.00757207177594,0.879091726913976,358.0645580866658
200.25977,832.8491,1.77682,32.089222,1.77682,800.7599,"[14.485733, 14.485733]","[4.7149773, 4.7149773]","[-1.6288732, -1.6288732]",2.136557,20.714727,-3.808392,10.504898,3,19.579216,0.27833202,1.931704,0.1056583755,-1,1,50.947906,3.5412006,-1.3347459,-2.1579186e-05,-1,348.00757207177594,0.879091726913976,358.0645580866658
197.9322,517.5319,1.77682,387.2178,1.77682,130.31412,"[42.461372, 42.461372]","[3.1125758, 3.1125758]","[3.0305402, 3.0305402]",-27.796223,10.424289,-36.206997,5.5895286,1,47.09904,1.8938832,2.8369262,5.192609,-1,2,33.259396,1.1602101,-0.36784756,0.0005109989499999,-1,348.00757207177594,0.879091726913976,358.0645580866658
202.11215,476.828,1.77682,407.2214,1.77682,69.606575,"[22.58656, 22.58656]","[-3.6432428, -3.6432428]","[-2.889026, -2.889026]",-39.056637,-1.995887,-40.30978,-4.715573,3,38.600895,-2.2818224,-3.0244722,0.1056583755,-1,1,64.44037,-0.53384453,0.065949984,3.7592196,-1,348.00757207177594,0.879091726913976,358.0645580866658
198.73083,549.78284,1.77682,381.8635,1.77682,167.91934,"[91.80905, 91.80905]","[2.4048307, 2.4048307]","[-1.2330188, -1.2330188]",30.931915,-15.810313,31.148972,-23.875134,1,74.73693,2.0875587,-2.3876543,1.651327,-1,3,53.154274,1.0925723,-0.23219436,0.1056583755,-1,348.00757207177594,0.879091726913976,358.0645580866658
201.6013,1150.0629,1.77682,203.13496,1.77682,946.92786,"[530.3093, 530.3093]","[-1.3916562, -1.3916562]","[2.9591186, 2.9591186]",-207.08284,40.93933,-177.21873,29.08774,1,44.807076,-2.3431206,2.2029696,1.2334826,-1,1,318.5738,-1.2386296,3.0037162,5.1357527,-1,348.00757207177594,0.879091726913976,358.0645580866658
