H.m,H.E,t1.m,t1.E,t2.m,t2.E,H.pt,H.eta,H.phi,METx,METy,trueMETx,trueMETy,dm1,pt1,eta1,phi1,mass1,type1,dm2,pt2,eta2,phi2,mass2,type2,covXX,covXY,covYY
174.92561,208.74895,1.77682,103.26356,1.77682,105.48538,"[31.106937, 31.106937]","[1.9720038, 1.9720038]","[1.5609808, 1.5609808]",-10.409396,11.612364,-12.73963,11.475756,1,68.34167,0.532053,0.25067827,8.516699,-1,1,49.333313,0.63040864,3.057211,0.839913,-1,342.03419201918734,5.594793833210288,346.5106427662397
175.11002,1078.3323,1.77682,696.26263,1.77682,382.06958,"[35.792152, 35.792152]","[4.0849442, 4.0849442]","[-1.7795643, -1.7795643]",-4.2170715,-7.526631,4.403042,-18.55994,1,56.351334,2.661576,-0.7987606,5.446563,-1,3,55.49009,2.2544446,2.6889372,0.1056583755,-1,342.03419201918734,5.594793833210288,346.5106427662397
174.73238,225.13576,1.77682,125.49556,1.77682,99.6402,"[34.43966, 34.43966]","[-2.094487, -2.094487]","[1.3614936, 1.3614936]",13.594127,15.400677,3.8737433,17.617792,3,54.76938,-0.62466717,1.1646022,0.1056583755,-1,2,41.38335,-0.8461199,-2.061108,0.0005109989499999,-1,342.03419201918734,5.594793833210288,346.5106427662397
174.65958,487.09454,1.77682,51.992542,1.77682,435.10202,"[73.149284, 73.149284]","[2.5137565, 2.5137565]","[0.11259016, 0.11259016]",4.029237,6.9221644,-1.0713702,6.849101,1,60.96037,0.4644382,2.7701013,12.20078,-1,1,95.42327,1.994276,-0.0777948,5.5015087,-1,342.03419201918734,5.594793833210288,346.5106427662397
175.13449,783.74634,1.77682,632.85046,1.77682,150.89592,"[66.52382, 66.52382]","[-3.1321597, -3.1321597]","[2.1019526, 2.1019526]",-41.34136,38.533287,-50.417984,51.969822,1,45.115505,-2.3622713,2.349872,3.7099104,-1,1,89.34518,-1.5875685,-0.57117945,10.949244,-1,342.03419201918734,5.594793833210288,346.5106427662397
174.99226,285.58417,1.77682,86.00786,1.77682,199.5763,"[17.304445, 17.304445]","[3.2598736, 3.2598736]","[-2.525751, -2.525751]",-26.65517,-11.891777,-27.6549,-18.608215,1,45.329678,0.611918,0.5846866,0.92371875,-1,1,30.160606,1.4374247,-2.531107,1.9082508,-1,342.03419201918734,5.594793833210288,346.5106427662397
175.63675,2595.7012,1.77682,1029.2091,1.77682,1566.492,"[7.246911, 7.246911]","[6.5718875, 6.5718875]","[-2.1836903, -2.1836903]",-4.3499007,17.230106,-7.9085855,34.444958,1,58.119923,3.2556434,-1.4311575,1.6280893,-1,1,42.558006,3.5496194,1.8448181,0.41456154,-1,342.03419201918734,5.594793833210288,346.5106427662397
175.11263,1308.2927,1.77682,652.1102,1.77682,656.1825,"[192.65077, 192.65077]","[-2.5941415, -2.5941415]","[3.0733151, 3.0733151]",-107.640335,22.578518,-106.035805,24.110289,1,46.51277,-2.8385954,-2.1659396,0.09424421,-1,1,66.952034,-2.0176485,2.691488,2.9715154,-1,342.03419201918734,5.594793833210288,346.5106427662397
175.17914,1204.4578,1.77682,190.76035,1.77682,1013.6974,"[53.006386, 53.006386]","[3.8053343, 3.8053343]","[-0.056280572, -0.056280572]",33.623142,0.5747204,35.038097,-3.2259405,1,31.01439,1.8450619,1.9495089,2.4971335,-1,1,31.66746,3.1290329,-0.529176,1.5882311,-1,342.03419201918734,5.594793833210288,346.5106427662397
175.09921,304.9008,1.77682,194.35585,1.77682,110.544945,"[22.604221, 22.604221]","[3.0928504, 3.0928504]","[1.2915195, 1.2915195]",-65.60384,22.508167,-62.914585,34.20665,2,11.619184,1.5135869,2.6362195,0.0005109989499999,-1,1,82.71361,0.80694884,-0.20667602,7.0465083,-1,342.03419201918734,5.594793833210288,346.5106427662397
