H.m,H.E,t1.m,t1.E,t2.m,t2.E,H.pt,H.eta,H.phi,METx,METy,trueMETx,trueMETy,dm1,pt1,eta1,phi1,mass1,type1,dm2,pt2,eta2,phi2,mass2,type2,covXX,covXY,covYY
681.4477,1374.652,1.77682,1205.7819,1.77682,168.87016,"[128.73769, 128.73769]","[2.917396, 2.917396]","[1.2143047, 1.2143047]",-0.30121502,-16.051796,0.67254037,-17.582552,1,179.66873,2.1075118,1.2922806,6.658724,-1,3,44.25114,0.119797856,-1.8086345,0.1056583755,-1,678.3993101262806,5.239086074575674,727.1911273412801
604.3612,917.3921,1.77682,581.9612,1.77682,335.4309,"[97.42238, 97.42238]","[-2.6460326, -2.6460326]","[1.5196944, 1.5196944]",-44.834923,5.5131936,-47.12684,16.14792,3,185.74069,-1.3844142,3.0582316,0.1056583755,-1,1,245.14053,-0.5603587,0.26821768,7.779619,-1,678.3993101262806,5.239086074575674,727.1911273412801
663.87146,1514.6527,1.77682,745.3999,1.77682,769.2528,"[30.32856, 30.32856]","[-4.4972124, -4.4972124]","[2.93055, 2.93055]",-17.598764,196.52211,-27.305107,181.49348,1,106.41113,-1.428241,1.6930008,0.14303845,-1,1,307.5799,-1.4989774,-1.5281153,3.860007,-1,678.3993101262806,5.239086074575674,727.1911273412801
621.1395,630.01746,1.77682,352.266,1.77682,277.75146,"[5.8338723, 5.8338723]","[-3.5863953, -3.5863953]","[-0.6870066, -0.6870066]",-6.944547,-2.2421565,-2.8548794,-2.966084,1,188.71399,-1.0849788,-2.626045,10.334135,-1,1,206.70288,0.7409298,0.48589674,2.302133,-1,678.3993101262806,5.239086074575674,727.1911273412801
736.5625,1762.3542,1.77682,442.2043,1.77682,1320.1499,"[14.070543, 14.070543]","[-5.4274607, -5.4274607]","[2.5414636, 2.5414636]",-18.586546,28.217154,8.280529,35.289097,1,75.851364,-0.9011147,1.0715352,1.4540167,-1,1,101.55941,-2.1373026,-2.1159139,0.52425474,-1,678.3993101262806,5.239086074575674,727.1911273412801
493.44913,498.55658,1.77682,255.0843,1.77682,243.47227,"[62.140102, 62.140102]","[0.53307265, 0.53307265]","[2.3059487, 2.3059487]",4.65335,48.269222,-5.7514772,75.615135,3,78.52633,1.2912544,-2.1314604,0.1056583755,-1,2,37.890812,-1.0016854,1.4092724,0.0005109989499999,-1,678.3993101262806,5.239086074575674,727.1911273412801
612.7216,627.02423,1.77682,375.68863,1.77682,251.33562,"[59.59096, 59.59096]","[-1.4428847, -1.4428847]","[2.6816616, 2.6816616]",-23.090506,34.259686,-35.35586,17.127893,3,77.75326,-1.0725334,2.2511435,0.1056583755,-1,1,63.142597,0.89844435,-1.0385314,3.5618966,-1,678.3993101262806,5.239086074575674,727.1911273412801
624.0324,1965.06,1.77682,1882.0566,1.77682,83.0034,"[32.224083, 32.224083]","[4.7504854, 4.7504854]","[0.4228845, 0.4228845]",6.828181,-13.495874,4.985103,-13.108674,1,56.17439,3.9465575,-1.235754,5.9040728,-1,1,87.336296,-0.20557071,1.511225,7.301965,-1,678.3993101262806,5.239086074575674,727.1911273412801
813.3775,936.5951,1.77682,298.28073,1.77682,638.31433,"[56.71268, 56.71268]","[-2.7920527, -2.7920527]","[-1.7389054, -1.7389054]",14.490022,-80.258,0.7881656,-59.863926,1,43.870754,0.32801452,2.4877746,3.8224328,-1,1,22.939686,-1.3803612,-0.80881363,2.1887672,-1,678.3993101262806,5.239086074575674,727.1911273412801
434.23065,870.3254,1.77682,111.92134,1.77682,758.40405,"[92.959785, 92.959785]","[-2.7828996, -2.7828996]","[2.9262912, 2.9262912]",-37.85824,-3.3755748,-9.109045,12.5300045,1,86.54902,-0.13819233,0.523011,4.0687747,-1,1,137.75618,-2.052457,-3.0039935,10.438191,-1,678.3993101262806,5.239086074575674,727.1911273412801
686.2633,1020.60425,1.77682,271.09464,1.77682,749.50964,"[28.68018, 28.68018]","[-3.9638686, -3.9638686]","[0.1186761, 0.1186761]",175.46123,14.29893,193.51106,21.86619,3,11.169233,-0.1508583,0.123632975,0.1056583755,-1,1,162.28297,-1.8119094,-3.0129073,16.081629,-1,678.3993101262806,5.239086074575674,727.1911273412801
707.0655,718.9018,1.77682,354.292,1.77682,364.6098,"[120.84603, 120.84603]","[-0.38505426, -0.38505426]","[-1.9015836, -1.9015836]",-160.42216,112.58437,-143.68091,79.36279,1,94.62741,-0.80061334,2.615642,12.730556,-1,1,318.49774,0.5679426,-0.92284405,2.4842994,-1,678.3993101262806,5.239086074575674,727.1911273412801
741.5371,3179.878,1.77682,1509.5775,1.77682,1670.3005,"[216.58951, 216.58951]","[-3.350555, -3.350555]","[-1.9931197, -1.9931197]",196.15114,5.2389803,216.59138,4.257599,1,28.642883,-2.3261018,0.15019242,3.0145812,-1,1,376.72226,-1.9248965,-2.534231,17.20647,-1,678.3993101262806,5.239086074575674,727.1911273412801
