H.m,H.E,t1.m,t1.E,t2.m,t2.E,H.pt,H.eta,H.phi,METx,METy,trueMETx,trueMETy,dm1,pt1,eta1,phi1,mass1,type1,dm2,pt2,eta2,phi2,mass2,type2,covXX,covXY,covYY
304.84848,347.83563,1.77682,115.355156,1.77682,232.48047,"[39.334515, 39.334515]","[2.1279614, 2.1279614]","[2.499417, 2.499417]",-1.7828152,19.775227,-20.360958,24.73555,2,58.16249,-0.58440125,2.1821268,0.0005109989499999,-1,1,56.997623,2.0003145,-1.1397742,1.3959055,-1,420.47697362893,4.137616253864985,431.48501844408804
296.07846,2156.8384,1.77682,712.09735,1.77682,1444.741,"[83.057274, 83.057274]","[3.9401255, 3.9401255]","[-3.0346174, -3.0346174]",-46.045444,0.87641674,-32.721493,-8.278548,3,84.637955,2.143016,2.9827294,0.1056583755,-1,1,51.129208,3.5915003,-0.44499248,8.540926,-1,420.47697362893,4.137616253864985,431.48501844408804
302.85745,304.24356,1.77682,162.11824,1.77682,142.12534,"[28.206585, 28.206585]","[-0.23794924, -0.23794924]","[-0.9898529, -0.9898529]",-72.29403,-0.16106662,-56.89337,2.7750213,1,143.30086,-0.48277712,-0.21559076,5.295941,-1,3,53.90241,0.512047,3.0697014,0.1056583755,-1,420.47697362893,4.137616253864985,431.48501844408804
299.9911,2810.1335,1.77682,1116.3246,1.77682,1693.809,"[45.322495, 45.322495]","[-4.814534, -4.814534]","[-1.3269602, -1.3269602]",24.956085,-18.257761,19.862768,-18.62255,1,69.70463,-2.7258162,-2.7503333,3.9011562,-1,1,51.17866,-3.1150925,0.16056761,0.0,-1,420.47697362893,4.137616253864985,431.48501844408804
306.0022,918.9128,1.77682,265.42688,1.77682,653.4859,"[41.365135, 41.365135]","[-3.7345614, -3.7345614]","[-0.6253183, -0.6253183]",38.84922,-39.378784,33.69996,-25.601042,2,35.45857,-1.3921582,2.4237642,0.0005109989499999,-1,1,32.843613,-2.0598545,-0.6935065,1.2835203,-1,420.47697362893,4.137616253864985,431.48501844408804
311.40335,1306.4094,1.77682,820.7125,1.77682,485.69696,"[23.146294, 23.146294]","[4.697019, 4.697019]","[-2.3180206, -2.3180206]",32.402992,-61.533894,26.014215,-77.737686,2,13.406392,2.378524,-1.1258643,0.0005109989499999,-1,2,84.85564,1.8554257,2.1480892,0.0005109989499999,-1,420.47697362893,4.137616253864985,431.48501844408804
297.75494,1016.85956,1.77682,680.2558,1.77682,336.60376,"[50.01055, 50.01055]","[-3.6599038, -3.6599038]","[1.7088286, 1.7088286]",3.029618,44.751335,12.542045,46.85862,1,91.718155,-2.5070934,-2.1071224,6.8741584,-1,1,99.11844,-1.4739462,1.1765025,2.4971812,-1,420.47697362893,4.137616253864985,431.48501844408804
300.70752,391.34396,1.77682,106.061035,1.77682,285.28293,"[14.839848, 14.839848]","[3.518211, 3.518211]","[-2.6740973, -2.6740973]",-3.156976,-24.789248,-7.754783,-19.00887,3,46.89957,-0.11937039,1.5571702,0.1056583755,-1,3,34.6743,1.577291,-1.7329978,0.1056583755,-1,420.47697362893,4.137616253864985,431.48501844408804
301.88605,1385.2891,1.77682,878.90765,1.77682,506.38144,"[119.04523, 119.04523]","[3.1210363, 3.1210363]","[2.0091228, 2.0091228]",-15.689822,51.06928,-21.99223,57.954365,3,91.6364,2.2764218,2.9364336,0.1056583755,-1,3,63.760048,1.9396003,0.5080423,0.1056583755,-1,420.47697362893,4.137616253864985,431.48501844408804
294.8468,1450.5612,1.77682,1352.1909,1.77682,98.370255,"[46.01749, 46.01749]","[4.122472, 4.122472]","[2.7389877, 2.7389877]",-36.02529,-4.4394684,-42.14994,-0.5480171,1,47.09662,4.0202465,0.8491502,0.73880446,-1,1,26.508171,0.868526,-2.9033728,3.1363883,-1,420.47697362893,4.137616253864985,431.48501844408804
