H.m,H.E,t1.m,t1.E,t2.m,t2.E,H.pt,H.eta,H.phi,METx,METy,trueMETx,trueMETy,dm1,pt1,eta1,phi1,mass1,type1,dm2,pt2,eta2,phi2,mass2,type2,covXX,covXY,covYY
150.0001,303.47845,1.77682,250.51573,1.77682,52.96272,"[164.89609, 164.89609]","[-1.0468842, -1.0468842]","[-0.16675755, -0.16675755]",97.558464,-21.234936,107.33465,-19.496397,1,46.160393,-1.3526312,-0.31678462,5.333259,-1,2,17.633018,0.23132883,0.3298634,0.0005109989499999,-1,312.1004624900707,2.191478635417403,310.60867899338626
150.0532,156.8229,1.77682,71.55103,1.77682,85.27187,"[45.57911, 45.57911]","[-0.0015075939, -0.0015075939]","[1.7163274, 1.7163274]",-19.177858,-0.61269224,-16.955734,-1.7719067,1,39.498722,0.8913122,-2.9536526,4.2192416,-1,1,71.73259,-0.66568935,0.8947482,2.706826,-1,312.1004624900707,2.191478635417403,310.60867899338626
149.97055,199.50313,1.77682,110.93107,1.77682,88.57207,"[124.03848, 124.03848]","[0.3467119, 0.3467119]","[-0.23215707, -0.23215707]",125.75822,19.153414,88.786125,-18.480413,2,21.994001,1.3670459,-0.39895806,0.0005109989499999,-1,2,11.574745,-0.7366985,-0.10927506,0.0005109989499999,-1,312.1004624900707,2.191478635417403,310.60867899338626
150.03181,225.29161,1.77682,65.846596,1.77682,159.44502,"[156.82155, 156.82155]","[-0.3764896, -0.3764896]","[0.43156222, 0.43156222]",58.729603,55.31812,56.062954,38.04394,2,25.244913,0.29428518,1.5113677,0.0005109989499999,-1,3,87.32767,-0.5543213,0.027413452,0.1056583755,-1,312.1004624900707,2.191478635417403,310.60867899338626
149.96901,163.52194,1.77682,51.35797,1.77682,112.16396,"[41.04504, 41.04504]","[1.0373532, 1.0373532]","[-1.9206722, -1.9206722]",-0.3497692,-6.3606668,-0.50330925,-1.0768842,1,31.924986,-0.35694265,1.099932,0.88347644,-1,1,70.02049,0.69881463,-1.969839,1.3415041,-1,312.1004624900707,2.191478635417403,310.60867899338626
150.00769,150.9704,1.77682,82.501816,1.77682,68.46858,"[4.872235, 4.872235]","[1.922968, 1.922968]","[-2.6498096, -2.6498096]",-23.497498,-4.7857246,-24.030167,0.5496136,1,36.02475,0.8845583,3.1005058,1.0770928,-1,1,56.06587,-0.7258264,-0.0812116,1.3790379,-1,312.1004624900707,2.191478635417403,310.60867899338626
150.00925,378.4341,1.77682,100.242905,1.77682,278.19122,"[306.60727, 306.60727]","[0.5104869, 0.5104869]","[1.4398617, 1.4398617]",66.854515,153.40022,51.710556,126.37813,1,89.82591,0.38573176,2.229575,2.8800087,-1,1,98.77293,0.51296055,1.1778783,6.3532777,-1,312.1004624900707,2.191478635417403,310.60867899338626
150.07248,219.73581,1.77682,79.327156,1.77682,140.40865,"[120.28573, 120.28573]","[-0.79654014, -0.79654014]","[2.0840776, 2.0840776]",-67.08198,70.22875,-46.663605,64.83546,1,80.68578,0.4201037,2.394814,10.53034,-1,1,30.892097,-1.5294417,1.5421306,1.2306472,-1,312.1004624900707,2.191478635417403,310.60867899338626
149.9902,357.8494,1.77682,291.589,1.77682,66.260414,"[84.5984, 84.5984]","[2.0213473, 2.0213473]","[0.8382841, 0.8382841]",29.247992,-1.8184817,10.966629,13.122346,1,38.312683,2.4050577,1.6522702,2.4054892,-1,1,51.412975,0.4116272,0.22187078,1.6509033,-1,312.1004624900707,2.191478635417403,310.60867899338626
150.00258,335.92596,1.77682,207.70999,1.77682,128.21599,"[22.63926, 22.63926]","[3.2777386, 3.2777386]","[2.488321, 2.488321]",-2.5824776,-19.197594,-7.431591,-5.302196,1,60.51125,1.751552,-2.2351093,6.30089,-1,1,71.97923,1.1389908,1.1925045,7.9159555,-1,312.1004624900707,2.191478635417403,310.60867899338626
149.98065,216.47612,1.77682,151.62875,1.77682,64.84735,"[148.2759, 148.2759]","[-0.3234816, -0.3234816]","[3.1137857, 3.1137857]",-30.058605,3.2120535,-20.620623,1.1504133,1,116.65962,0.07051992,2.9454167,1.1973971,-1,3,21.003832,-1.6112912,-1.5598242,0.1056583755,-1,312.1004624900707,2.191478635417403,310.60867899338626
149.9943,169.42421,1.77682,97.29367,1.77682,72.13054,"[19.15094, 19.15094]","[2.0923412, 2.0923412]","[-0.26826075, -0.26826075]",41.339725,-1.2880201,27.759233,-4.648879,2,14.10104,0.500946,-0.08086289,0.0005109989499999,-1,1,33.488884,0.45985058,3.1047006,0.48139516,-1,312.1004624900707,2.191478635417403,310.60867899338626
149.98582,167.44637,1.77682,101.36516,1.77682,66.08121,"[42.49257, 42.49257]","[-1.1602223, -1.1602223]","[1.8483876, 1.8483876]",-10.75378,-11.2270775,-12.350168,3.3283165,1,77.24408,-0.55573004,1.058353,1.2253562,-1,1,42.95322,-0.15657327,-2.5422404,0.99638295,-1,312.1004624900707,2.191478635417403,310.60867899338626
149.98856,151.99106,1.77682,80.33289,1.77682,71.65816,"[9.308858, 9.308858]","[-1.6266371, -1.6266371]","[-0.64680153, -0.64680153]",-28.053238,51.71035,-24.68382,36.16049,3,63.559914,-0.13141403,-0.9092924,0.1056583755,-1,2,11.365911,-0.15782529,2.261191,0.0005109989499999,-1,312.1004624900707,2.191478635417403,310.60867899338626
150.01822,289.57513,1.77682,116.12174,1.77682,173.4534,"[47.555717, 47.555717]","[2.3340604, 2.3340604]","[-0.9287239, -0.9287239]",14.270248,-25.750359,16.480215,-23.98762,1,40.25361,0.8115073,-0.22635211,1.3933042,-1,3,19.994228,1.7456477,-2.8006167,0.1056583755,-1,312.1004624900707,2.191478635417403,310.60867899338626
150.00226,249.39566,1.77682,82.11467,1.77682,167.28098,"[70.89513, 70.89513]","[-1.6931965, -1.6931965]","[-1.7071073, -1.7071073]",26.401415,-22.889275,14.494953,-36.56566,1,57.194416,-0.36835954,-2.4541235,2.2840135,-1,3,13.1699705,-1.7217386,-0.37789038,0.1056583755,-1,312.1004624900707,2.191478635417403,310.60867899338626
149.97247,150.90152,1.77682,71.739914,1.77682,79.161606,"[13.384936, 13.384936]","[-0.69193524, -0.69193524]","[-1.1588787, -1.1588787]",9.596714,26.06516,7.4576855,-1.1580667,1,35.787056,1.3644636,-0.0096386885,5.383424,-1,1,45.526115,-1.5394129,-2.822163,2.219105,-1,312.1004624900707,2.191478635417403,310.60867899338626
150.00784,337.8767,1.77682,194.80171,1.77682,143.075,"[49.759922, 49.759922]","[2.4920259, 2.4920259]","[-0.90180963, -0.90180963]",4.446262,-16.810686,7.944868,-11.080413,1,67.806465,1.4003419,-1.694252,3.8493211,-1,1,56.901188,1.3995895,0.86715114,4.939806,-1,312.1004624900707,2.191478635417403,310.60867899338626
