H.m,H.E,t1.m,t1.E,t2.m,t2.E,H.pt,H.eta,H.phi,METx,METy,trueMETx,trueMETy,dm1,pt1,eta1,phi1,mass1,type1,dm2,pt2,eta2,phi2,mass2,type2,covXX,covXY,covYY
529.4747,686.58813,1.77682,532.1038,1.77682,154.48431,"[436.7975, 436.7975]","[0.03745977, 0.03745977]","[-2.798622, -2.798622]",-447.55685,-132.45572,-439.17014,-130.00986,3,23.539663,0.28400126,-2.8901238,0.1056583755,-1,1,53.12423,-1.2147164,-0.21187156,8.545881,-1,545.7562892821285,-8.322102486054618,569.6842623790325
520.8614,999.63403,1.77682,428.84,1.77682,570.79407,"[789.15265, 789.15265]","[0.40025112, 0.40025112]","[-0.018366277, -0.018366277]",499.77164,250.60231,513.3665,178.24783,1,352.14243,0.42282614,-0.72657037,14.65587,-1,2,40.19237,0.26893,0.4546267,0.0005109989499999,-1,545.7562892821285,-8.322102486054618,569.6842623790325
468.6865,530.44763,1.77682,237.818,1.77682,292.6296,"[166.40518, 166.40518]","[0.9559589, 0.9559589]","[1.8502768, 1.8502768]",50.822166,115.66689,21.88994,132.23935,1,143.68233,0.5268312,-2.731364,11.494803,-1,3,89.46565,0.2501538,1.0392498,0.1056583755,-1,545.7562892821285,-8.322102486054618,569.6842623790325
481.30338,584.6514,1.77682,424.06726,1.77682,160.58418,"[181.33449, 181.33449]","[1.212963, 1.212963]","[2.7471232, 2.7471232]",-76.98507,31.065681,-93.89099,17.52018,1,224.23328,0.7334041,2.9752421,3.5926604,-1,1,139.66605,0.08231772,0.10575527,0.41074854,-1,545.7562892821285,-8.322102486054618,569.6842623790325
504.60425,647.81726,1.77682,356.944,1.77682,290.87323,"[86.50218, 86.50218]","[2.2284222, 2.2284222]","[0.32442302, 0.32442302]",-23.225992,8.71146,15.376547,12.708856,1,213.15369,0.7080161,-0.39500344,1.4794573,-1,1,163.62277,0.7341209,2.4866724,3.9350617,-1,545.7562892821285,-8.322102486054618,569.6842623790325
504.13312,1053.7057,1.77682,98.73516,1.77682,954.9705,"[221.9103, 221.9103]","[-2.1062717, -2.1062717]","[0.371907, 0.371907]",91.78313,28.99764,116.68202,38.515022,3,48.772526,0.47206107,0.90957004,0.1056583755,-1,1,53.65635,-2.5574486,0.017904108,6.6072494e-06,-1,545.7562892821285,-8.322102486054618,569.6842623790325
472.33292,514.6022,1.77682,227.96478,1.77682,286.6374,"[126.58066, 126.58066]","[-1.0577617, -1.0577617]","[-0.96642315, -0.96642315]",61.797657,-97.65941,75.16137,-100.809425,1,69.86962,-0.9033252,2.3260834,4.8664722,-1,1,76.31559,0.016106311,-0.9076755,1.1675204,-1,545.7562892821285,-8.322102486054618,569.6842623790325
514.7423,1771.0002,1.77682,830.13007,1.77682,940.8702,"[20.937382, 20.937382]","[5.0867424, 5.0867424]","[-1.2990104, -1.2990104]",6.5535326,-1.1699784,22.057886,2.0571194,1,222.80586,1.8443011,-2.854525,7.5369167,-1,1,217.0939,1.9675567,0.22090904,6.6513367,-1,545.7562892821285,-8.322102486054618,569.6842623790325
501.75668,632.9284,1.77682,281.28302,1.77682,351.6454,"[285.8522, 285.8522]","[-0.81359714, -0.81359714]","[-0.7164124, -0.7164124]",-51.487778,-196.03688,-31.755743,-185.8623,3,51.73059,-0.38907507,-1.9604231,0.1056583755,-1,1,285.0961,-0.4660681,0.17405543,3.2658298,-1,545.7562892821285,-8.322102486054618,569.6842623790325
520.529,1074.5928,1.77682,671.09406,1.77682,403.4987,"[26.695251, 26.695251]","[-4.254452, -4.254452]","[-2.761818, -2.761818]",-21.353825,45.2765,-3.607622,55.788975,2,42.178722,-1.6925118,1.419747,0.0005109989499999,-1,1,116.76169,-1.0410665,-1.7992051,3.3084564,-1,545.7562892821285,-8.322102486054618,569.6842623790325
